Name,periods,lines,conductors,subs_hv,subs_mv,SetUnion_OrderedSet,buses,NPWB,Value
line_act_minus,,25.0,,,,,,,0.0
line_act_minus,,26.0,,,,,,,0.0
line_act_minus,,27.0,,,,,,,0.0
line_act_minus,,28.0,,,,,,,0.0
line_act_minus,,29.0,,,,,,,0.0
line_act_minus,,30.0,,,,,,,0.0
line_act_minus,,31.0,,,,,,,0.0
line_act_minus,,32.0,,,,,,,0.0
line_act_minus,,33.0,,,,,,,0.0
line_act_minus,,34.0,,,,,,,0.0
line_act_minus,,35.0,,,,,,,0.0
line_act_minus,,36.0,,,,,,,0.0
line_act_minus,,37.0,,,,,,,0.0
line_act_minus,,38.0,,,,,,,1.0
line_act_minus,,39.0,,,,,,,0.0
line_act_minus,,40.0,,,,,,,1.0
line_act_minus,,41.0,,,,,,,0.0
line_act_minus,,42.0,,,,,,,0.0
line_act_minus,,43.0,,,,,,,1.0
line_act_minus,,44.0,,,,,,,1.0
line_act_minus,,45.0,,,,,,,0.0
line_act_minus,,46.0,,,,,,,1.0
line_act_minus,,47.0,,,,,,,1.0
line_act_minus,,48.0,,,,,,,0.0
line_act_minus,,49.0,,,,,,,0.0
line_act_minus,,50.0,,,,,,,0.0
line_act_minus,,51.0,,,,,,,0.0
line_act_minus,,52.0,,,,,,,0.0
line_act_minus,,53.0,,,,,,,1.0
line_act_minus,,54.0,,,,,,,0.0
line_act_minus,,55.0,,,,,,,0.0
line_act_minus,,56.0,,,,,,,0.0
line_act_minus,,57.0,,,,,,,0.0
line_act_minus,,58.0,,,,,,,0.0
line_act_minus,,59.0,,,,,,,0.0
subs_hv_capacity,,,,0.0,,,,,0.059573491131341756
subs_hv_capacity,,,,1.0,,,,,0.06808717374622937
subs_hv_S,1.0,,,0.0,,,,,0.059573491131341756
subs_hv_S,1.0,,,1.0,,,,,0.06808717374622937
subs_hv_S,2.0,,,0.0,,,,,0.059573491131341756
subs_hv_S,2.0,,,1.0,,,,,0.06808717374622937
subs_hv_S,3.0,,,0.0,,,,,0.059573491131341756
subs_hv_S,3.0,,,1.0,,,,,0.06808717374622937
subs_hv_S,4.0,,,0.0,,,,,0.059573491131341756
subs_hv_S,4.0,,,1.0,,,,,0.06808717374622937
subs_hv_S,5.0,,,0.0,,,,,0.059573491131341756
subs_hv_S,5.0,,,1.0,,,,,0.06808717374622937
subs_hv_S,6.0,,,0.0,,,,,0.059573491131341756
subs_hv_S,6.0,,,1.0,,,,,0.06808717374622937
subs_hv_P,1.0,,,0.0,,,,,0.03686236493661974
subs_hv_P,1.0,,,1.0,,,,,0.04964538244350451
subs_hv_P,2.0,,,0.0,,,,,0.041616441960357145
subs_hv_P,2.0,,,1.0,,,,,0.04942326765222596
subs_hv_P,3.0,,,0.0,,,,,0.04357357523554296
subs_hv_P,3.0,,,1.0,,,,,0.04538320121188592
subs_hv_P,4.0,,,0.0,,,,,0.03863396635970876
subs_hv_P,4.0,,,1.0,,,,,0.04299442936428976
subs_hv_P,5.0,,,0.0,,,,,0.03931509058343205
subs_hv_P,5.0,,,1.0,,,,,0.04911172488310633
subs_hv_P,6.0,,,0.0,,,,,0.043213037347855636
subs_hv_P,6.0,,,1.0,,,,,0.043691297385255824
subs_hv_Q,1.0,,,0.0,,,,,0.03902168175741971
subs_hv_Q,1.0,,,1.0,,,,,0.04499132844209912
subs_hv_Q,2.0,,,0.0,,,,,0.038828525476769404
subs_hv_Q,2.0,,,1.0,,,,,0.04665257984041098
subs_hv_Q,3.0,,,0.0,,,,,0.0405079906921141
subs_hv_Q,3.0,,,1.0,,,,,0.04451928122006892
subs_hv_Q,4.0,,,0.0,,,,,0.04113765595863547
subs_hv_Q,4.0,,,1.0,,,,,0.04692827592885692
subs_hv_Q,5.0,,,0.0,,,,,0.03831132799024395
subs_hv_Q,5.0,,,1.0,,,,,0.04717804985569469
subs_hv_Q,6.0,,,0.0,,,,,0.0410365756970467
subs_hv_Q,6.0,,,1.0,,,,,0.045341116899715386
beta,,,,0.0,,,,,1.0
beta,,,,1.0,,,,,1.0
subs_mv_capacity,,,,,2.0,,,,0.012449166736285412
subs_mv_capacity,,,,,3.0,,,,0.0
subs_mv_capacity,,,,,4.0,,,,0.0
subs_mv_capacity,,,,,5.0,,,,0.021893416805024955
subs_mv_S,1.0,,,,2.0,,,,0.012449166736285412
subs_mv_S,1.0,,,,3.0,,,,0.0
subs_mv_S,1.0,,,,4.0,,,,0.0
subs_mv_S,1.0,,,,5.0,,,,0.021893416805024955
subs_mv_S,2.0,,,,2.0,,,,0.012449166736285412
subs_mv_S,2.0,,,,3.0,,,,0.0
subs_mv_S,2.0,,,,4.0,,,,0.0
subs_mv_S,2.0,,,,5.0,,,,0.021893416805024955
subs_mv_S,3.0,,,,2.0,,,,0.012449166736285412
subs_mv_S,3.0,,,,3.0,,,,0.0
subs_mv_S,3.0,,,,4.0,,,,0.0
subs_mv_S,3.0,,,,5.0,,,,0.021893416805024955
subs_mv_S,4.0,,,,2.0,,,,0.012449166736285412
subs_mv_S,4.0,,,,3.0,,,,0.0
subs_mv_S,4.0,,,,4.0,,,,0.0
subs_mv_S,4.0,,,,5.0,,,,0.021893416805024955
subs_mv_S,5.0,,,,2.0,,,,0.012449166736285412
subs_mv_S,5.0,,,,3.0,,,,0.0
subs_mv_S,5.0,,,,4.0,,,,0.0
subs_mv_S,5.0,,,,5.0,,,,0.021893416805024955
subs_mv_S,6.0,,,,2.0,,,,0.012449166736285412
subs_mv_S,6.0,,,,3.0,,,,0.0
subs_mv_S,6.0,,,,4.0,,,,0.0
subs_mv_S,6.0,,,,5.0,,,,0.021893416805024955
subs_mv_P,1.0,,,,2.0,,,,0.006934351914651311
subs_mv_P,1.0,,,,3.0,,,,0.0
subs_mv_P,1.0,,,,4.0,,,,0.0
subs_mv_P,1.0,,,,5.0,,,,0.012348279030585552
subs_mv_P,2.0,,,,2.0,,,,0.0064515081028408425
subs_mv_P,2.0,,,,3.0,,,,0.0
subs_mv_P,2.0,,,,4.0,,,,0.0
subs_mv_P,2.0,,,,5.0,,,,0.012170492087758996
subs_mv_P,3.0,,,,2.0,,,,0.006638517361602286
subs_mv_P,3.0,,,,3.0,,,,0.0
subs_mv_P,3.0,,,,4.0,,,,0.0
subs_mv_P,3.0,,,,5.0,,,,0.012296760422484829
subs_mv_P,4.0,,,,2.0,,,,0.006958763267001895
subs_mv_P,4.0,,,,3.0,,,,0.0
subs_mv_P,4.0,,,,4.0,,,,0.0
subs_mv_P,4.0,,,,5.0,,,,0.011678472942139397
subs_mv_P,5.0,,,,2.0,,,,0.006761494068687804
subs_mv_P,5.0,,,,3.0,,,,0.0
subs_mv_P,5.0,,,,4.0,,,,3.238084447145656e-05
subs_mv_P,5.0,,,,5.0,,,,0.011662018192530122
subs_mv_P,6.0,,,,2.0,,,,0.006814404074400922
subs_mv_P,6.0,,,,3.0,,,,0.0
subs_mv_P,6.0,,,,4.0,,,,0.0
subs_mv_P,6.0,,,,5.0,,,,0.011102459353302712
subs_mv_Q,1.0,,,,2.0,,,,0.009575094225973923
subs_mv_Q,1.0,,,,3.0,,,,0.0
subs_mv_Q,1.0,,,,4.0,,,,0.0
subs_mv_Q,1.0,,,,5.0,,,,0.017940213683604128
subs_mv_Q,2.0,,,,2.0,,,,0.009169410252096251
subs_mv_Q,2.0,,,,3.0,,,,0.0
subs_mv_Q,2.0,,,,4.0,,,,0.0
subs_mv_Q,2.0,,,,5.0,,,,0.01687311569239261
subs_mv_Q,3.0,,,,2.0,,,,0.009200616260386579
subs_mv_Q,3.0,,,,3.0,,,,0.0
subs_mv_Q,3.0,,,,4.0,,,,0.0
subs_mv_Q,3.0,,,,5.0,,,,0.01730276309376782
subs_mv_Q,4.0,,,,2.0,,,,0.009352510180340263
subs_mv_Q,4.0,,,,3.0,,,,0.0
subs_mv_Q,4.0,,,,4.0,,,,0.0
subs_mv_Q,4.0,,,,5.0,,,,0.018859877629246465
subs_mv_Q,5.0,,,,2.0,,,,0.010674176193442608
subs_mv_Q,5.0,,,,3.0,,,,0.0
subs_mv_Q,5.0,,,,4.0,,,,0.0
subs_mv_Q,5.0,,,,5.0,,,,0.01827318708748877
subs_mv_Q,6.0,,,,2.0,,,,0.01040738653003384
subs_mv_Q,6.0,,,,3.0,,,,0.0
subs_mv_Q,6.0,,,,4.0,,,,0.0
subs_mv_Q,6.0,,,,5.0,,,,0.014836772314583274
gamma,,,,,2.0,,,,1.0
gamma,,,,,3.0,,,,0.0
gamma,,,,,4.0,,,,0.0
gamma,,,,,5.0,,,,1.0
current_squared_k,1.0,0.0,Poppy,,,,,,0.0027049120893729186
current_squared_k,1.0,0.0,Oxlip,,,,,,9.450577242005845e-05
current_squared_k,1.0,0.0,Daisy,,,,,,9.450577242005845e-05
current_squared_k,1.0,0.0,Tulip,,,,,,9.450577242005845e-05
current_squared_k,1.0,1.0,Poppy,,,,,,0.0
current_squared_k,1.0,1.0,Oxlip,,,,,,0.0
current_squared_k,1.0,1.0,Daisy,,,,,,0.0
current_squared_k,1.0,1.0,Tulip,,,,,,0.0
current_squared_k,1.0,2.0,Poppy,,,,,,0.0
current_squared_k,1.0,2.0,Oxlip,,,,,,0.0
current_squared_k,1.0,2.0,Daisy,,,,,,0.0
current_squared_k,1.0,2.0,Tulip,,,,,,0.0
current_squared_k,1.0,3.0,Poppy,,,,,,0.0
current_squared_k,1.0,3.0,Oxlip,,,,,,0.0
current_squared_k,1.0,3.0,Daisy,,,,,,0.0
current_squared_k,1.0,3.0,Tulip,,,,,,0.0
current_squared_k,1.0,4.0,Poppy,,,,,,0.0
current_squared_k,1.0,4.0,Oxlip,,,,,,0.0
current_squared_k,1.0,4.0,Daisy,,,,,,0.0
current_squared_k,1.0,4.0,Tulip,,,,,,0.0
current_squared_k,1.0,5.0,Poppy,,,,,,0.0
current_squared_k,1.0,5.0,Oxlip,,,,,,0.0
current_squared_k,1.0,5.0,Daisy,,,,,,0.0
current_squared_k,1.0,5.0,Tulip,,,,,,0.0
current_squared_k,1.0,6.0,Poppy,,,,,,0.0
current_squared_k,1.0,6.0,Oxlip,,,,,,-9.450577242005845e-05
current_squared_k,1.0,6.0,Daisy,,,,,,9.450577242005845e-05
current_squared_k,1.0,6.0,Tulip,,,,,,0.0
current_squared_k,1.0,7.0,Poppy,,,,,,0.00463000106163374
current_squared_k,1.0,7.0,Oxlip,,,,,,9.450577242005845e-05
current_squared_k,1.0,7.0,Daisy,,,,,,9.450577242005845e-05
current_squared_k,1.0,7.0,Tulip,,,,,,9.454422607934899e-05
current_squared_k,1.0,8.0,Poppy,,,,,,0.001610977948387486
current_squared_k,1.0,8.0,Oxlip,,,,,,9.450577242005845e-05
current_squared_k,1.0,8.0,Daisy,,,,,,9.450577242005845e-05
current_squared_k,1.0,8.0,Tulip,,,,,,9.450577242005845e-05
current_squared_k,1.0,9.0,Poppy,,,,,,0.0
current_squared_k,1.0,9.0,Oxlip,,,,,,0.0
current_squared_k,1.0,9.0,Daisy,,,,,,0.0
current_squared_k,1.0,9.0,Tulip,,,,,,0.0
current_squared_k,1.0,10.0,Poppy,,,,,,0.0
current_squared_k,1.0,10.0,Oxlip,,,,,,0.0
current_squared_k,1.0,10.0,Daisy,,,,,,0.0
current_squared_k,1.0,10.0,Tulip,,,,,,0.0
