Name,lv_load,periods,lines,conductors,subs_hv,subs_mv,buses,SetUnion_OrderedSet,NPWB,Value
subs_hv_P,,9.0,,,0.0,,,,,0.08847640833664627
subs_hv_P,,9.0,,,1.0,,,,,0.09021148673789359
subs_hv_P,,10.0,,,0.0,,,,,0.05442430293794587
subs_hv_P,,10.0,,,1.0,,,,,0.06520404348025721
subs_hv_P,,11.0,,,0.0,,,,,0.05790614553738571
subs_hv_P,,11.0,,,1.0,,,,,0.05465755907334735
subs_hv_P,,12.0,,,0.0,,,,,0.0631257304807189
subs_hv_P,,12.0,,,1.0,,,,,0.062415264609887
subs_hv_P,,13.0,,,0.0,,,,,0.05559733791228183
subs_hv_P,,13.0,,,1.0,,,,,0.051938119831240304
subs_hv_P,,14.0,,,0.0,,,,,0.07092048542068596
subs_hv_P,,14.0,,,1.0,,,,,0.06917926982256661
subs_hv_P,,15.0,,,0.0,,,,,0.09194050119999098
subs_hv_P,,15.0,,,1.0,,,,,0.08203858980145418
subs_hv_P,,16.0,,,0.0,,,,,0.09672527854802127
subs_hv_P,,16.0,,,1.0,,,,,0.13273377617475823
subs_hv_P,,17.0,,,0.0,,,,,0.1356677903367025
subs_hv_P,,17.0,,,1.0,,,,,0.16268411475501132
subs_hv_P,,18.0,,,0.0,,,,,0.12471695226902213
subs_hv_P,,18.0,,,1.0,,,,,0.16304999414236487
subs_hv_P,,19.0,,,0.0,,,,,0.14291441602724042
subs_hv_P,,19.0,,,1.0,,,,,0.15705837225363695
subs_hv_P,,20.0,,,0.0,,,,,0.13335386759001722
subs_hv_P,,20.0,,,1.0,,,,,0.1717761447390309
subs_hv_P,,21.0,,,0.0,,,,,0.12979617879447147
subs_hv_P,,21.0,,,1.0,,,,,0.1753385392819733
subs_hv_P,,22.0,,,0.0,,,,,0.12973072583041834
subs_hv_P,,22.0,,,1.0,,,,,0.1662638640019738
subs_hv_P,,23.0,,,0.0,,,,,0.1419352470335049
subs_hv_P,,23.0,,,1.0,,,,,0.15346957532543515
subs_hv_P,,24.0,,,0.0,,,,,0.12871882879950292
subs_hv_P,,24.0,,,1.0,,,,,0.16568827475494663
subs_hv_Q,,1.0,,,0.0,,,,,0.06639914375611689
subs_hv_Q,,1.0,,,1.0,,,,,0.019462546144763948
subs_hv_Q,,2.0,,,0.0,,,,,0.06902495554551535
subs_hv_Q,,2.0,,,1.0,,,,,0.02400489295013486
subs_hv_Q,,3.0,,,0.0,,,,,0.06586629888164985
subs_hv_Q,,3.0,,,1.0,,,,,0.027022355530714304
subs_hv_Q,,4.0,,,0.0,,,,,0.05787196538338257
subs_hv_Q,,4.0,,,1.0,,,,,0.02570965197586661
subs_hv_Q,,5.0,,,0.0,,,,,0.05900171647486374
subs_hv_Q,,5.0,,,1.0,,,,,0.022967832081732364
subs_hv_Q,,6.0,,,0.0,,,,,0.05892512806814487
subs_hv_Q,,6.0,,,1.0,,,,,0.031667859405623666
subs_hv_Q,,7.0,,,0.0,,,,,0.05595067997008485
subs_hv_Q,,7.0,,,1.0,,,,,0.027162677013972125
subs_hv_Q,,8.0,,,0.0,,,,,0.052772813810843644
subs_hv_Q,,8.0,,,1.0,,,,,0.02584209512317548
subs_hv_Q,,9.0,,,0.0,,,,,0.03419547154998348
subs_hv_Q,,9.0,,,1.0,,,,,0.01794409046257206
subs_hv_Q,,10.0,,,0.0,,,,,0.02524197548615703
subs_hv_Q,,10.0,,,1.0,,,,,0.01438358757778202
subs_hv_Q,,11.0,,,0.0,,,,,0.027884399094054046
subs_hv_Q,,11.0,,,1.0,,,,,0.01374112638155589
subs_hv_Q,,12.0,,,0.0,,,,,0.027884399094054046
subs_hv_Q,,12.0,,,1.0,,,,,0.01367886079454772
subs_hv_Q,,13.0,,,0.0,,,,,0.02678484043578777
subs_hv_Q,,13.0,,,1.0,,,,,0.01374112638155589
subs_hv_Q,,14.0,,,0.0,,,,,0.027884399094054046
subs_hv_Q,,14.0,,,1.0,,,,,0.013760543371128975
subs_hv_Q,,15.0,,,0.0,,,,,0.035787105022064836
subs_hv_Q,,15.0,,,1.0,,,,,0.020778944769428875
subs_hv_Q,,16.0,,,0.0,,,,,0.04653445247173238
subs_hv_Q,,16.0,,,1.0,,,,,0.027295487005978725
subs_hv_Q,,17.0,,,0.0,,,,,0.06424112988516306
subs_hv_Q,,17.0,,,1.0,,,,,0.024739994980667035
subs_hv_Q,,18.0,,,0.0,,,,,0.06119568097403061
subs_hv_Q,,18.0,,,1.0,,,,,0.028864671232851524
subs_hv_Q,,19.0,,,0.0,,,,,0.06314674924885288
subs_hv_Q,,19.0,,,1.0,,,,,0.026314724317685112
subs_hv_Q,,20.0,,,0.0,,,,,0.058694119041796
subs_hv_Q,,20.0,,,1.0,,,,,0.02009495500704528
subs_hv_Q,,21.0,,,0.0,,,,,0.068913112353723
subs_hv_Q,,21.0,,,1.0,,,,,0.026022341685511208
subs_hv_Q,,22.0,,,0.0,,,,,0.06690473020670673
subs_hv_Q,,22.0,,,1.0,,,,,0.0297228414225561
subs_hv_Q,,23.0,,,0.0,,,,,0.06551067618036832
subs_hv_Q,,23.0,,,1.0,,,,,0.029273246084667193
subs_hv_Q,,24.0,,,0.0,,,,,0.06375145717443509
subs_hv_Q,,24.0,,,1.0,,,,,0.019935240123302833
subs_hv_F,,1.0,,,0.0,,,,,7.0
subs_hv_F,,1.0,,,1.0,,,,,8.0
subs_hv_F,,2.0,,,0.0,,,,,7.0
