Name,buses,periods,lines,conductors,subs_hv,subs_mv,SetUnion_OrderedSet,lv_load,NPWB,Value
subs_hv_P,,15.0,,,0.0,,,,,0.02393451531781001
subs_hv_P,,15.0,,,1.0,,,,,0.017935924786806848
subs_hv_P,,16.0,,,0.0,,,,,0.03940969859385412
subs_hv_P,,16.0,,,1.0,,,,,0.047672858423725366
subs_hv_P,,17.0,,,0.0,,,,,0.05581123684718309
subs_hv_P,,17.0,,,1.0,,,,,0.0681407310403305
subs_hv_P,,18.0,,,0.0,,,,,0.0597021539236252
subs_hv_P,,18.0,,,1.0,,,,,0.0690310702179018
subs_hv_P,,19.0,,,0.0,,,,,0.059423055442601014
subs_hv_P,,19.0,,,1.0,,,,,0.06504866466090538
subs_hv_P,,20.0,,,0.0,,,,,0.05581896302885765
subs_hv_P,,20.0,,,1.0,,,,,0.06778730148367088
subs_hv_P,,21.0,,,0.0,,,,,0.05943908030246947
subs_hv_P,,21.0,,,1.0,,,,,0.06912656718095186
subs_hv_P,,22.0,,,0.0,,,,,0.05675650292535779
subs_hv_P,,22.0,,,1.0,,,,,0.05952204705518966
subs_hv_P,,23.0,,,0.0,,,,,0.057940116808897046
subs_hv_P,,23.0,,,1.0,,,,,0.06416922388012225
subs_hv_P,,24.0,,,0.0,,,,,0.06058440089209218
subs_hv_P,,24.0,,,1.0,,,,,0.061628924718974236
subs_hv_Q,,1.0,,,0.0,,,,,0.05840274531773801
subs_hv_Q,,1.0,,,1.0,,,,,0.06472826533864186
subs_hv_Q,,2.0,,,0.0,,,,,0.05659193533620665
subs_hv_Q,,2.0,,,1.0,,,,,0.06678128348602978
subs_hv_Q,,3.0,,,0.0,,,,,0.058494071585365
subs_hv_Q,,3.0,,,1.0,,,,,0.060933971493370605
subs_hv_Q,,4.0,,,0.0,,,,,0.061459836684212996
subs_hv_Q,,4.0,,,1.0,,,,,0.06136483681752509
subs_hv_Q,,5.0,,,0.0,,,,,0.05644720534180091
subs_hv_Q,,5.0,,,1.0,,,,,0.07271044355560116
subs_hv_Q,,6.0,,,0.0,,,,,0.05896227706753541
subs_hv_Q,,6.0,,,1.0,,,,,0.059280868675442654
subs_hv_Q,,7.0,,,0.0,,,,,0.050984472427154266
subs_hv_Q,,7.0,,,1.0,,,,,0.05232611319582242
subs_hv_Q,,8.0,,,0.0,,,,,0.03555440821898783
subs_hv_Q,,8.0,,,1.0,,,,,0.033807129388173734
subs_hv_Q,,9.0,,,0.0,,,,,0.015260060115367942
subs_hv_Q,,9.0,,,1.0,,,,,0.005843469541974283
subs_hv_Q,,10.0,,,0.0,,,,,0.0
subs_hv_Q,,10.0,,,1.0,,,,,0.0
subs_hv_Q,,11.0,,,0.0,,,,,0.0
subs_hv_Q,,11.0,,,1.0,,,,,0.0
subs_hv_Q,,12.0,,,0.0,,,,,0.0
subs_hv_Q,,12.0,,,1.0,,,,,0.0
subs_hv_Q,,13.0,,,0.0,,,,,0.0
subs_hv_Q,,13.0,,,1.0,,,,,0.0
subs_hv_Q,,14.0,,,0.0,,,,,0.0021189454828547654
subs_hv_Q,,14.0,,,1.0,,,,,0.0
subs_hv_Q,,15.0,,,0.0,,,,,0.021291058993248898
subs_hv_Q,,15.0,,,1.0,,,,,0.015800908735375638
subs_hv_Q,,16.0,,,0.0,,,,,0.03855439950713745
subs_hv_Q,,16.0,,,1.0,,,,,0.04061384023830454
subs_hv_Q,,17.0,,,0.0,,,,,0.06354692040367096
subs_hv_Q,,17.0,,,1.0,,,,,0.06264996473809335
subs_hv_Q,,18.0,,,0.0,,,,,0.059656003327228854
subs_hv_Q,,18.0,,,1.0,,,,,0.05781535788335301
subs_hv_Q,,19.0,,,0.0,,,,,0.05993510180825304
subs_hv_Q,,19.0,,,1.0,,,,,0.06885358788462376
subs_hv_Q,,20.0,,,0.0,,,,,0.0635391942219964
subs_hv_Q,,20.0,,,1.0,,,,,0.06452686389617737
subs_hv_Q,,21.0,,,0.0,,,,,0.05882391808019785
subs_hv_Q,,21.0,,,1.0,,,,,0.0635145021242551
subs_hv_Q,,22.0,,,0.0,,,,,0.05875104749539885
subs_hv_Q,,22.0,,,1.0,,,,,0.07438020549033948
subs_hv_Q,,23.0,,,0.0,,,,,0.058383250469640345
subs_hv_Q,,23.0,,,1.0,,,,,0.06636486208936382
subs_hv_Q,,24.0,,,0.0,,,,,0.05819968629747718
subs_hv_Q,,24.0,,,1.0,,,,,0.06207257004002223
subs_hv_F,,1.0,,,0.0,,,,,7.0
subs_hv_F,,1.0,,,1.0,,,,,8.0
subs_hv_F,,2.0,,,0.0,,,,,7.0
subs_hv_F,,2.0,,,1.0,,,,,8.0
subs_hv_F,,3.0,,,0.0,,,,,7.0
subs_hv_F,,3.0,,,1.0,,,,,8.0
subs_hv_F,,4.0,,,0.0,,,,,7.0
subs_hv_F,,4.0,,,1.0,,,,,8.0
subs_hv_F,,5.0,,,0.0,,,,,7.0
subs_hv_F,,5.0,,,1.0,,,,,8.0
subs_hv_F,,6.0,,,0.0,,,,,7.0
subs_hv_F,,6.0,,,1.0,,,,,8.0
subs_hv_F,,7.0,,,0.0,,,,,7.0
subs_hv_F,,7.0,,,1.0,,,,,8.0
subs_hv_F,,8.0,,,0.0,,,,,7.0
subs_hv_F,,8.0,,,1.0,,,,,8.0
subs_hv_F,,9.0,,,0.0,,,,,7.0
subs_hv_F,,9.0,,,1.0,,,,,8.0
subs_hv_F,,10.0,,,0.0,,,,,7.0
subs_hv_F,,10.0,,,1.0,,,,,8.0
subs_hv_F,,11.0,,,0.0,,,,,7.0
subs_hv_F,,11.0,,,1.0,,,,,8.0
subs_hv_F,,12.0,,,0.0,,,,,7.0
subs_hv_F,,12.0,,,1.0,,,,,8.0
subs_hv_F,,13.0,,,0.0,,,,,7.0
subs_hv_F,,13.0,,,1.0,,,,,8.0
subs_hv_F,,14.0,,,0.0,,,,,7.0
subs_hv_F,,14.0,,,1.0,,,,,8.0
subs_hv_F,,15.0,,,0.0,,,,,7.0
subs_hv_F,,15.0,,,1.0,,,,,8.0
subs_hv_F,,16.0,,,0.0,,,,,7.0
subs_hv_F,,16.0,,,1.0,,,,,8.0
subs_hv_F,,17.0,,,0.0,,,,,7.0
subs_hv_F,,17.0,,,1.0,,,,,8.0
subs_hv_F,,18.0,,,0.0,,,,,7.0
subs_hv_F,,18.0,,,1.0,,,,,8.0
subs_hv_F,,19.0,,,0.0,,,,,7.0
subs_hv_F,,19.0,,,1.0,,,,,8.0
subs_hv_F,,20.0,,,0.0,,,,,7.0
subs_hv_F,,20.0,,,1.0,,,,,8.0
subs_hv_F,,21.0,,,0.0,,,,,7.0
subs_hv_F,,21.0,,,1.0,,,,,8.0
subs_hv_F,,22.0,,,0.0,,,,,7.0
subs_hv_F,,22.0,,,1.0,,,,,8.0
subs_hv_F,,23.0,,,0.0,,,,,7.0
subs_hv_F,,23.0,,,1.0,,,,,8.0
subs_hv_F,,24.0,,,0.0,,,,,7.0
subs_hv_F,,24.0,,,1.0,,,,,8.0
beta,,,,,0.0,,,,,1.0
beta,,,,,1.0,,,,,1.0
subs_mv_capacity,,,,,,2.0,,,,0.03193114917461614
subs_mv_capacity,,,,,,3.0,,,,0.0
subs_mv_capacity,,,,,,4.0,,,,0.0
subs_mv_capacity,,,,,,5.0,,,,0.03149791403916374
subs_mv_S,,1.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,1.0,,,,3.0,,,,0.0
subs_mv_S,,1.0,,,,4.0,,,,0.0
subs_mv_S,,1.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,2.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,2.0,,,,3.0,,,,0.0
subs_mv_S,,2.0,,,,4.0,,,,0.0
subs_mv_S,,2.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,3.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,3.0,,,,3.0,,,,0.0
subs_mv_S,,3.0,,,,4.0,,,,0.0
subs_mv_S,,3.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,4.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,4.0,,,,3.0,,,,0.0
subs_mv_S,,4.0,,,,4.0,,,,0.0
subs_mv_S,,4.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,5.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,5.0,,,,3.0,,,,0.0
subs_mv_S,,5.0,,,,4.0,,,,0.0
subs_mv_S,,5.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,6.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,6.0,,,,3.0,,,,0.0
subs_mv_S,,6.0,,,,4.0,,,,0.0
subs_mv_S,,6.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,7.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,7.0,,,,3.0,,,,0.0
subs_mv_S,,7.0,,,,4.0,,,,0.0
subs_mv_S,,7.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,8.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,8.0,,,,3.0,,,,0.0
subs_mv_S,,8.0,,,,4.0,,,,0.0
subs_mv_S,,8.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,9.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,9.0,,,,3.0,,,,0.0
subs_mv_S,,9.0,,,,4.0,,,,0.0
subs_mv_S,,9.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,10.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,10.0,,,,3.0,,,,0.0
subs_mv_S,,10.0,,,,4.0,,,,0.0
subs_mv_S,,10.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,11.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,11.0,,,,3.0,,,,0.0
subs_mv_S,,11.0,,,,4.0,,,,0.0
subs_mv_S,,11.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,12.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,12.0,,,,3.0,,,,0.0
subs_mv_S,,12.0,,,,4.0,,,,0.0
subs_mv_S,,12.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,13.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,13.0,,,,3.0,,,,0.0
subs_mv_S,,13.0,,,,4.0,,,,0.0
subs_mv_S,,13.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,14.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,14.0,,,,3.0,,,,0.0
subs_mv_S,,14.0,,,,4.0,,,,0.0
subs_mv_S,,14.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,15.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,15.0,,,,3.0,,,,0.0
subs_mv_S,,15.0,,,,4.0,,,,0.0
subs_mv_S,,15.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,16.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,16.0,,,,3.0,,,,0.0
subs_mv_S,,16.0,,,,4.0,,,,0.0
subs_mv_S,,16.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,17.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,17.0,,,,3.0,,,,0.0
subs_mv_S,,17.0,,,,4.0,,,,0.0
subs_mv_S,,17.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,18.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,18.0,,,,3.0,,,,0.0
subs_mv_S,,18.0,,,,4.0,,,,0.0
subs_mv_S,,18.0,,,,5.0,,,,0.03149791403916374
subs_mv_S,,19.0,,,,2.0,,,,0.03193114917461614
subs_mv_S,,19.0,,,,3.0,,,,0.0
subs_mv_S,,19.0,,,,4.0,,,,0.0
