Pandapower Network Debug Info
==================================================

BUS:
           name  vn_kv type  zone  in_service   geo
0         Bus 8    0.4    b  None        True  None
1         Bus 9    0.4    b  None        True  None
2        Bus 10    0.4    b  None        True  None
3        Bus 11    0.4    b  None        True  None
4        Bus 16    0.4    b  None        True  None
5        Bus 17    0.4    b  None        True  None
6        Bus 18    0.4    b  None        True  None
7        Bus 19    0.4    b  None        True  None
8        Bus 20    0.4    b  None        True  None
9        Bus 21   15.0    b  None        True  None
10       Bus 22   15.0    b  None        True  None
11       Bus 23   15.0    b  None        True  None
12       Bus 24   15.0    b  None        True  None
13       Bus 25   15.0    b  None        True  None
14       Bus 26   15.0    b  None        True  None
15     Sub MV 2   15.0    b  None        True  None
16     Sub LV 2    0.4    b  None        True  None
17     Sub MV 3   15.0    b  None        True  None
18     Sub LV 3    0.4    b  None        True  None
19     Sub MV 4   15.0    b  None        True  None
20     Sub LV 4    0.4    b  None        True  None
21     Sub MV 5   15.0    b  None        True  None
22     Sub LV 5    0.4    b  None        True  None
23  Slack HV 27   70.0    b  None        True  None
24  Slack MV 27   15.0    b  None        True  None
--------------------------------------------------

LOAD:
            name  bus      p_mw    q_mvar  const_z_percent  const_i_percent  sn_mva  scaling  in_service type
184  Load 19 T17    7  0.089526  0.001558              0.0              0.0     NaN      1.0        True  wye
185  Load 19 T18    7  0.079704  0.007406              0.0              0.0     NaN      1.0        True  wye
186  Load 19 T19    7  0.075035  0.001137              0.0              0.0     NaN      1.0        True  wye
187  Load 19 T20    7  0.089158  0.007230              0.0              0.0     NaN      1.0        True  wye
188  Load 19 T21    7  0.098128  0.006863              0.0              0.0     NaN      1.0        True  wye
189  Load 19 T22    7  0.095864  0.004769              0.0              0.0     NaN      1.0        True  wye
190  Load 19 T23    7  0.101269  0.005118              0.0              0.0     NaN      1.0        True  wye
191  Load 19 T24    7  0.096940  0.011262              0.0              0.0     NaN      1.0        True  wye
192   Load 20 T1    8  0.108577 -0.028216              0.0              0.0     NaN      1.0        True  wye
193   Load 20 T2    8  0.126909 -0.021895              0.0              0.0     NaN      1.0        True  wye
194   Load 20 T3    8  0.131818 -0.027840              0.0              0.0     NaN      1.0        True  wye
195   Load 20 T4    8  0.110572 -0.029897              0.0              0.0     NaN      1.0        True  wye
196   Load 20 T5    8  0.118959 -0.022380              0.0              0.0     NaN      1.0        True  wye
197   Load 20 T6    8  0.119444 -0.025513              0.0              0.0     NaN      1.0        True  wye
198   Load 20 T7    8  0.124763 -0.023801              0.0              0.0     NaN      1.0        True  wye
199   Load 20 T8    8  0.096020 -0.025729              0.0              0.0     NaN      1.0        True  wye
200   Load 20 T9    8  0.113837 -0.023612              0.0              0.0     NaN      1.0        True  wye
201  Load 20 T10    8  0.097515 -0.030993              0.0              0.0     NaN      1.0        True  wye
202  Load 20 T11    8  0.082821 -0.025519              0.0              0.0     NaN      1.0        True  wye
203  Load 20 T12    8  0.104334 -0.027924              0.0              0.0     NaN      1.0        True  wye
204  Load 20 T13    8  0.079215 -0.023478              0.0              0.0     NaN      1.0        True  wye
